firstname	lastname	blurb	picture_file
Niels	Bohr	Bohr model	einstein-small.jpg
Subrahmanyan	Chandrasekhar	Postulated white dwarfs and the limit that bears his name.	einstein-small.jpg
Nicolaus	Copernicus	Heliocentrism.	einstein-small.jpg
Paul	Dirac	"Father of QFT, and antimatter"	einstein-small.jpg
Albert	Einstein	Relativity and all that jazz	einstein-small.jpg
Enrico	Fermi	“The Italian navigator has landed in the new world.”	einstein-small.jpg
Richard	Feynman	"“A second Dirac, this time human.” Father of QED"	einstein-small.jpg
Galileo	Galilei	Arguably the first modern scientist. Little-known fact: he made the first recorded attempt to measure the speed of light!	einstein-small.jpg
Murray	Gell-Mann	"quarks, eightfold path, nobel prize"	einstein-small.jpg
Brian	Greene	"string theory, elegant universe"	einstein-small.jpg
Stephen	Hawking	"Hawking radiation, black hole thermodynamics, ALS, brief history of time"	einstein-small.jpg
Werner	Heisenberg	"Uncertainty principle, reinvented matrix algebra to explain the quantum world"	einstein-small.jpg
Peter	Higgs	Of the eponymous boson.	einstein-small.jpg
Lise	Meitner	Nuclear chemistry.	einstein-small.jpg
Isaac	Newton	"Calculus, mechanics, and optics"	einstein-small.jpg
Emmy	Noether	Discovered the most profound and beautiful truth about the world.	einstein-small.jpg
Julius Robert	Oppenheimer	"“I am become Death, the destroyer of worlds.”"	einstein-small.jpg
Lisa	Randall	"string theory, etc"	einstein-small.jpg
Abdus	Salam	"Electroweak theory, standard model, nobel prize."	einstein-small.jpg
Erwin	Schrödinger	"Cats, waves, etc."	einstein-small.jpg
Alan	Turing	"Father of modern computer science, computability theory, AI, cryptography...."	einstein-small.jpg
Steven	Weinberg	"electroweak theory, standard model, nobel prize"	einstein-small.jpg
Frank	Wilczek	"asymptotic freedom, nobel prize"	einstein-small.jpg