firstname	lastname	id
Pierre	Curie	129287
Scott	Aaronson	109495
Niels	Abel	55178
John	Bardeen	42856
Jacob	Bernoulli	54440
Hans	Bethe	48688
David	Bohm	106535
Ludwig	Boltzmann	13105
George	Boolos	82996
Max	Born	18245
Tycho	Brahe	125379
Michelangelo	Buonarroti	131589
Johannes	Calvin	132044
Georg	Cantor	29561
Sean	Carroll	130903
Arthur	Cayley	7824
James	Clerk Maxwell	105806
Roger	Cotes	103067
Jean	d'Alembert	108266
Leonardo	da Vinci	131700
Donald	Davidson	146877
Louis	de Broglie	105807
Peter	Debye	25025
John	Dee	119224
René	Descartes	125358
David	Deutsch	105748
Gustav	Dirichlet	17946
Arthur	Eddington	18250
Paul	Ehrenfest	19433
George	Ellis	82681
Desiderius	Erasmus	125938
Paul	Erdős	19470
Leonhard	Euler	38586
Hugh	Everett III	171199
Ronald	Fisher	46924
Jean-Baptiste	Fourier	17981
Sir Francis	Galton	30175
Carl	Gauß	18231
Hans	Geiger	127912
Josiah	Gibbs	132578
Sheldon	Glashow	105794
Kurt	Gödel	19539
Maria	Goeppert-Mayer	105781
G. H.	Hardy	17806
Heinrich	Hertz	67546
David	Hilbert	7298
Fred	Hoyle	82968
Thomas	Huxley	95541
Christiaan	Huygens	125561
Carl	Jacobi	15635
Sir James	Jeans	19562
Heike	Kamerlingh Onnes	99434
Johannes	Kepler	127098
C. Felix	Klein	7401
Saul	Kripke	13743
Leopold	Kronecker	17982
Joseph	Lagrange	17864
Lev	Landau	105773
Paul	Langevin	125567
Pierre-Simon	Laplace	108295
Gottfried	Leibniz	60985
Carl	Linnaeus	118796
Joseph	Liouville	55185
Hendrik	Lorentz	105756
Ernst	Mach	113011
Juan	Maldacena	125116
Benoit	Mandelbrot	60791
Gerardus	Mercator	119164
Albert	Michelson	72170
Hermann	Minkowski	29675
Blaise	Pascal	126406
Wolfgang	Pauli	22421
Linus	Pauling	113591
Karl	Pearson	30176
Roger	Penrose	36928
Grigorii	Perelman	84354
Max	Planck	20750
Henri	Poincaré	34227
Simeon	Poisson	17865
John	Preskill	105681
Hilary	Putnam	13387
Willard	Quine	73831
Isidor	Rabi	84659
Srinivasa	Ramanujan	91561
Martin	Rees	78460
Hans	Reichenbach	51796
Georg	Riemann	18232
Wilhelm	Röntgen	52900
Bertrand	Russell	66811
Ernest	Rutherford	50699
Erwin	Schrödinger	53005
Dennis	Sciama	72653
Adam	Sedgwick	102043
Claude	Shannon	42920
Raymond	Smullyan	8027
Arnold	Sommerfeld	31357
Jožef	Stefan	19402
George	Stokes	102483
John	Strutt (Lord Rayleigh)	101979
Leo	Szilard	113115
Terence	Tao	43967
Edward	Teller	105772
Joseph John	Thomson	50701
Kip	Thorne	63787
Hermann	von Helmholtz	49057
John (Janos)	von Neumann	53213
Karl	Weierstraß	7486
Viktor	Weisskopf	76884
Hermann	Weyl	7373
John	Wheeler	31332
Alfred	Whitehead	78732
Eugene (Jenó)	Wigner	36900
Andrew	Wiles	9696
Edward	Witten	31293
Ludwig	Wittgenstein	22537
Kenneth	Wilson	22937
David	Gross	80901
John	Conway	18849
Andrei	Kolmogorov	10480
Nikolai	Lobachevsky	146776
Andrei	Markov	12543
Stanisław	Ulam	12682
Andreas	Vesalius	119178
Philippus	von Hohenheim (Paracelsus)	122684