firstname	lastname
Pierre	Curie
Scott	Aaronson
Niels	Abel
John	Bardeen
Jacob	Bernoulli
Hans	Bethe
David	Bohm
Ludwig	Boltzmann
George	Boolos
Max	Born
Tycho	Brahe
Michelangelo	Buonarroti
Johannes	Calvin
Georg	Cantor
Sean	Carroll
Arthur	Cayley
James	Clerk Maxwell
Roger	Cotes
Jean	d'Alembert
Leonardo	da Vinci
Donald	Davidson
Louis	de Broglie
Peter	Debye
John	Dee
René	Descartes
David	Deutsch
Gustav	Dirichlet
Arthur	Eddington
Paul	Ehrenfest
George	Ellis
Desiderius	Erasmus
Paul	Erdős
Leonhard	Euler
Hugh	Everett III
Ronald	Fisher
Jean-Baptiste	Fourier
Sir Francis	Galton
Carl	Gauß
Hans	Geiger
Josiah	Gibbs
Sheldon	Glashow
Kurt	Gödel
Maria	Goeppert-Mayer
G. H.	Hardy
Heinrich	Hertz
David	Hilbert
Fred	Hoyle
Thomas	Huxley
Christiaan	Huygens
Carl	Jacobi
Sir James	Jeans
Heike	Kamerlingh Onnes
Johannes	Kepler
C. Felix	Klein
Saul	Kripke
Leopold	Kronecker
Joseph	Lagrange
Lev	Landau
Paul	Langevin
Pierre-Simon	Laplace
Gottfried	Leibniz
Carl	Linnaeus
Joseph	Liouville
Seth	Lloyd
Hendrik	Lorentz
Ernst	Mach
Juan	Maldacena
Benoit	Mandelbrot
Gerardus	Mercator
Albert	Michelson
Hermann	Minkowski
Blaise	Pascal
Wolfgang	Pauli
Linus	Pauling
Karl	Pearson
Roger	Penrose
Grigorii	Perelman
Max	Planck
Henri	Poincaré
Simeon	Poisson
John	Preskill
Hilary	Putnam
Willard	Quine
Isidor	Rabi
Srinivasa	Ramanujan
Martin	Rees
Hans	Reichenbach
Georg	Riemann
Wilhelm	Röntgen
Bertrand	Russell
Ernest	Rutherford
Dennis	Sciama
Adam	Sedgwick
Claude	Shannon
Raymond	Smullyan
Arnold	Sommerfeld
Jožef	Stefan
George	Stokes
John	Strutt (Lord Rayleigh)
Leo	Szilard
Terence	Tao
Edward	Teller
Joseph John	Thomson
Kip	Thorne
Hermann	von Helmholtz
John (Janos)	von Neumann
Karl	Weierstraß
Viktor	Weisskopf
Hermann	Weyl
John	Wheeler
Alfred	Whitehead
Eugene (Jenó)	Wigner
Andrew	Wiles
Edward	Witten
Ludwig	Wittgenstein